FLORES-200: 2009 EN sentences
OPUS-100 : 1004000 pairs
trainable params: 1,179,648 || all params: 105,527,296 || trainable%: 1.1179
No checkpoint found — starting from scratch
Starting training now!
{'loss': 11.3865, 'grad_norm': 1.0026488304138184, 'learning_rate': 0.0004994666666666667, 'epoch': 0.0}
{'loss': 10.7677, 'grad_norm': 1.917287826538086, 'learning_rate': 0.0004989333333333334, 'epoch': 0.01}
{'loss': 9.9053, 'grad_norm': 3.5316033363342285, 'learning_rate': 0.0004984, 'epoch': 0.01}
{'loss': 9.3026, 'grad_norm': 2.187729835510254, 'learning_rate': 0.0004978666666666667, 'epoch': 0.01}
{'loss': 9.1164, 'grad_norm': 1.7282583713531494, 'learning_rate': 0.0004973333333333334, 'epoch': 0.02}
{'loss': 9.003, 'grad_norm': 1.2393300533294678, 'learning_rate': 0.0004968, 'epoch': 0.02}
{'loss': 8.6889, 'grad_norm': 1.2842744588851929, 'learning_rate': 0.0004962666666666667, 'epoch': 0.02}
{'loss': 8.5896, 'grad_norm': 1.3923914432525635, 'learning_rate': 0.0004957333333333334, 'epoch': 0.03}
{'loss': 8.3461, 'grad_norm': 1.4445568323135376, 'learning_rate': 0.0004952, 'epoch': 0.03}
{'loss': 8.2961, 'grad_norm': 1.2182185649871826, 'learning_rate': 0.0004946666666666667, 'epoch': 0.03}
{'eval_loss': 8.255582809448242, 'eval_bleu': 0.1368, 'eval_chrf': 5.882, 'eval_runtime': 295.3324, 'eval_samples_per_second': 6.772, 'eval_steps_per_second': 0.423, 'epoch': 0.03}
{'loss': 8.2558, 'grad_norm': 1.4264875650405884, 'learning_rate': 0.0004941333333333333, 'epoch': 0.04}
{'loss': 8.2074, 'grad_norm': 1.6154263019561768, 'learning_rate': 0.0004936, 'epoch': 0.04}
{'loss': 8.1644, 'grad_norm': 1.5026804208755493, 'learning_rate': 0.0004930666666666667, 'epoch': 0.04}
{'loss': 8.137, 'grad_norm': 1.6900297403335571, 'learning_rate': 0.0004925333333333333, 'epoch': 0.04}
{'loss': 8.0359, 'grad_norm': 1.7853165864944458, 'learning_rate': 0.000492, 'epoch': 0.05}
{'loss': 8.0923, 'grad_norm': 1.3715603351593018, 'learning_rate': 0.0004914666666666667, 'epoch': 0.05}
{'loss': 7.9547, 'grad_norm': 1.5516629219055176, 'learning_rate': 0.0004909333333333333, 'epoch': 0.05}
{'loss': 7.9032, 'grad_norm': 1.5210775136947632, 'learning_rate': 0.0004904, 'epoch': 0.06}
{'loss': 7.8556, 'grad_norm': 1.8216052055358887, 'learning_rate': 0.0004898666666666667, 'epoch': 0.06}
{'loss': 7.7523, 'grad_norm': 1.9863395690917969, 'learning_rate': 0.0004893333333333334, 'epoch': 0.06}
{'eval_loss': 7.875240802764893, 'eval_bleu': 0.0629, 'eval_chrf': 4.7837, 'eval_runtime': 410.6391, 'eval_samples_per_second': 4.87, 'eval_steps_per_second': 0.304, 'epoch': 0.06}
{'loss': 7.8769, 'grad_norm': 1.55116605758667, 'learning_rate': 0.0004888000000000001, 'epoch': 0.07}
{'loss': 7.7709, 'grad_norm': 1.559856653213501, 'learning_rate': 0.0004882666666666667, 'epoch': 0.07}
{'loss': 7.8235, 'grad_norm': 1.6541732549667358, 'learning_rate': 0.0004877333333333334, 'epoch': 0.07}
{'loss': 7.8516, 'grad_norm': 2.2118895053863525, 'learning_rate': 0.0004872, 'epoch': 0.08}
{'loss': 7.7323, 'grad_norm': 1.7890651226043701, 'learning_rate': 0.0004866666666666667, 'epoch': 0.08}
{'loss': 7.8339, 'grad_norm': 1.717964768409729, 'learning_rate': 0.0004861333333333333, 'epoch': 0.08}
{'loss': 7.9401, 'grad_norm': 1.668069839477539, 'learning_rate': 0.0004856, 'epoch': 0.09}
{'loss': 7.5777, 'grad_norm': 1.845780611038208, 'learning_rate': 0.0004850666666666667, 'epoch': 0.09}
{'loss': 7.627, 'grad_norm': 1.624191403388977, 'learning_rate': 0.0004845333333333333, 'epoch': 0.09}
{'loss': 7.5872, 'grad_norm': 2.465857982635498, 'learning_rate': 0.000484, 'epoch': 0.1}
{'eval_loss': 7.675267696380615, 'eval_bleu': 0.1569, 'eval_chrf': 6.1997, 'eval_runtime': 224.1862, 'eval_samples_per_second': 8.921, 'eval_steps_per_second': 0.558, 'epoch': 0.1}
{'loss': 7.7128, 'grad_norm': 2.1450488567352295, 'learning_rate': 0.0004834666666666667, 'epoch': 0.1}
{'loss': 7.6728, 'grad_norm': 1.615946888923645, 'learning_rate': 0.0004829333333333333, 'epoch': 0.1}
{'loss': 7.5789, 'grad_norm': 1.5902899503707886, 'learning_rate': 0.0004824, 'epoch': 0.11}
{'loss': 7.5615, 'grad_norm': 1.6614537239074707, 'learning_rate': 0.00048186666666666665, 'epoch': 0.11}
{'loss': 7.3663, 'grad_norm': 1.735799789428711, 'learning_rate': 0.00048133333333333334, 'epoch': 0.11}
{'loss': 7.4919, 'grad_norm': 2.2617721557617188, 'learning_rate': 0.00048080000000000003, 'epoch': 0.12}
{'loss': 7.3718, 'grad_norm': 2.1677491664886475, 'learning_rate': 0.00048026666666666667, 'epoch': 0.12}
{'loss': 7.22, 'grad_norm': 1.7926558256149292, 'learning_rate': 0.00047973333333333336, 'epoch': 0.12}
{'loss': 7.2959, 'grad_norm': 2.038836717605591, 'learning_rate': 0.00047920000000000005, 'epoch': 0.12}
{'loss': 7.5466, 'grad_norm': 1.5312858819961548, 'learning_rate': 0.0004786666666666667, 'epoch': 0.13}
{'eval_loss': 7.42733907699585, 'eval_bleu': 0.0569, 'eval_chrf': 5.1106, 'eval_runtime': 475.1226, 'eval_samples_per_second': 4.209, 'eval_steps_per_second': 0.263, 'epoch': 0.13}
{'loss': 7.5131, 'grad_norm': 2.3396215438842773, 'learning_rate': 0.00047813333333333337, 'epoch': 0.13}
{'loss': 7.299, 'grad_norm': 2.3910915851593018, 'learning_rate': 0.0004776, 'epoch': 0.13}
{'loss': 7.2361, 'grad_norm': 2.5488343238830566, 'learning_rate': 0.0004770666666666667, 'epoch': 0.14}
{'loss': 7.4875, 'grad_norm': 1.453105092048645, 'learning_rate': 0.00047653333333333333, 'epoch': 0.14}
{'loss': 7.4186, 'grad_norm': 1.8733292818069458, 'learning_rate': 0.00047599999999999997, 'epoch': 0.14}
{'loss': 7.4025, 'grad_norm': 2.084972858428955, 'learning_rate': 0.00047546666666666666, 'epoch': 0.15}
{'loss': 7.2276, 'grad_norm': 2.004699945449829, 'learning_rate': 0.00047493333333333335, 'epoch': 0.15}
{'loss': 7.3876, 'grad_norm': 1.8570902347564697, 'learning_rate': 0.0004744, 'epoch': 0.15}
{'loss': 7.283, 'grad_norm': 3.2740113735198975, 'learning_rate': 0.0004738666666666667, 'epoch': 0.16}
{'loss': 7.2181, 'grad_norm': 2.1967432498931885, 'learning_rate': 0.00047333333333333336, 'epoch': 0.16}
{'eval_loss': 7.294040203094482, 'eval_bleu': 0.0789, 'eval_chrf': 6.9706, 'eval_runtime': 308.8439, 'eval_samples_per_second': 6.476, 'eval_steps_per_second': 0.405, 'epoch': 0.16}
{'loss': 7.2166, 'grad_norm': 1.9281351566314697, 'learning_rate': 0.0004728, 'epoch': 0.16}
{'loss': 7.069, 'grad_norm': 2.1632916927337646, 'learning_rate': 0.0004722666666666667, 'epoch': 0.17}
